ID,elevation,canton,municipality,mgroup,LU1980,LU2000,LU2020,LNF_Code,plotID,priority,Latitude,Longitude,slope,exposition,Nutzungsid,P.Test.CO2.
MP2-BE-GR-24,1430,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/069,MP2,46.64530696774968,8.016624562297563,30,SW,982189,7.2
MP2-BE-GR-25,1430,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/050,MP2,46.639375735069144,8.082648289040712,15,W,212844,12.5
MP2-BE-GR-26,1580,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,612,81/074,MP2,46.65034959441021,8.06671104139817,25,SW,237531,14.5
MP3-BE-GR-27,940,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,80/050,MP3,46.62307599517447,8.018867848488682,2,NE,324140,11.9
MP3-BE-GR-28,940,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,613,81/063,MP3,46.62386422623385,8.023054511765464,85,S,865091,6.4
MP3-BE-GR-29,950,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,611,79/113,MP3,46.63901108554789,7.97972656062311,80,S,317601,4.8
MP3-BE-GR-30,985,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,611,80/132,MP3,46.62669134515905,8.015511651278914,70,S,837394,9.2
MP3-BE-GR-31,990,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr048,MP3,46.61992896945608,8.018572981661489,30,N,223176,12.4
MP3-BE-GR-32,1000,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,613,81/065,MP3,46.619768925264275,8.014654493055568,15,NE,221792,9
MP3-BE-GR-33,1010,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr073,MP3,46.6278148375882,8.041769951160056,5,S,760026,9.2
MP3-BE-GR-34,1035,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,613,80/058,MP3,46.61448896986749,8.026869651338435,10,NE,818084,3.7
MP3-BE-GR-35,1060,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,611,Gr037,MP3,46.613577963604634,8.02907900108352,0,-,312132,3.2
MP3-BE-GR-36,1070,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,79/424,MP3,46.6163141954144,8.021798010253567,20,N,332288,9
MP3-BE-GR-37,1080,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,0026,MP3,46.62957248238495,8.015020043069676,25,180,219267,8.7
MP3-BE-GR-38,1160,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/032,MP3,46.61685148177994,8.004440382903109,30,N,608307,11.1
MP3-BE-GR-39,1160,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,611,80/124,MP3,46.636081922489474,8.008559481159649,60,S,626249,7.1
