"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
89;"Bryum weigelii";"M";"Bryum";"weigelii";"NISM";"1";"II";"";"";"4";"I";"Be Gf";"II";"4";"II";"2";"II";"";"";"";"";"";"R.n";"-";"di";"p";"So";"eQ";"II";1;"";"";""
90;"Buxbaumia aphylla";"M";"Buxbaumia";"aphylla";"NISM";"4";"II";"";"";"3";"II";"Bg Be";"I";"3";"I";"2";"II";"";"";"";"";"";"G.u";"-";"di";"m";"Fr-So";"gH";"II";1;"";"EN";""
91;"Buxbaumia viridis";"M";"Buxbaumia";"viridis";"NISM";"3";"I";"2";"I";"2";"II";"Ph";"I";"3";"I";"2";"I";"3";"I";"";"";"";"G.ku";"-";"di";"m";"Fr-He";"gH";"I";1;">";"";""
92;"Callicladium haldanianum";"M";"Callicladium";"haldanianum";"NISM";"5";"I";"4";"II";"2";"I";"Ph";"";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"mo";"c";"Wi";"gH";"I";3;"";"VU";""
93;"Calliergon cordifolium aggr.";"M";"Calliergon";"cordifolium aggr.";"";"3";"II";"";"";"4";"I";"Bt Be";"I";"5";"I";"4";"II";"";"";"";"";"";"D.w";"-";"m/d";"p";"Fr-So";"gW";"II";3;"";"(VU)";""
94;"Calliergon sarmentosum";"M";"Calliergon";"sarmentosum";"NISM";"2";"I";"";"";"3";"II";"Bt Be";"I";"5";"II";"2";"I";"";"";"";"";"";"D.n";"-";"di";"p";"So";"gW";"I";1;"";"";""
95;"Calliergon stramineum";"M";"Calliergon";"stramineum";"NISM";"3";"II";"3";"II";"4";"II";"Bt Be";"I";"4";"II";"2";"II";"1";"I";"5";"I";"";"D.n";"-";"di";"m";"Fr-So";"eM";"II";1;"";"";""
96;"Calliergonella cuspidata";"M";"Calliergonella";"cuspidata";"NISM";"3";"II";"3";"II";"4";"II";"Be Bt";"I";"4";"II";"4";"II";"3";"II";"3";"II";"";"D.n";"-";"di";"m";"Fr-So";"gK";"II";3;"";"";""
97;"Calypogeia arguta";"H";"Calypogeia";"arguta";"NISM";"4";"II";"1";"II";"1";"I";"Be Bg";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.r";"Bk";"di";"-";"";"gH";"I";3;"";"";""
98;"Calypogeia fissa";"H";"Calypogeia";"fissa";"NISM";"4";"II";"2";"II";"2";"II";"Be Bg";"I";"3";"II";"1";"II";"";"";"";"";"";"Ü.n";"Bk";"aut";"p";"Fr";"gH";"I";3;"";"";"tax"
99;"Calypogeia integristipula";"H";"Calypogeia";"integristipula";"NISM";"2";"II";"";"";"2";"II";"Be Ph";"II";"3";"I";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"mo";"m";"So";"gH";"II";3;"";"";"tax"
100;"Calypogeia muelleriana aggr.";"H";"Calypogeia";"muelleriana aggr.";"";"3";"II";"3";"I";"1";"II";"Be Bh";"II";"4";"II";"1";"II";"1";"I";"3";"II";"L";"Ü.n";"Bk";"aut";"c";"Fr";"gH";"II";1;"";"";""
101;"Calypogeia neesiana";"H";"Calypogeia";"neesiana";"NISM";"3";"II";"";"";"3";"II";"Be Bt";"II";"3";"II";"1";"II";"";"";"";"";"";"Ü.n";"Bk";"mo";"m";"Fr";"gH";"II";1;"";"";"tax"
